"","TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper","DateTime","UnixTime"
"121","344C7834 2021-08-04 18:45:00","344C7834","2021-08-04","18:45:00",6,411096.4361211,4261833.24927683,410915.056320534,411277.815921666,4261695.03370042,4261971.46485323,2021-08-04 12:45:00,1628102700
"122","344C7834 2021-08-04 18:48:00","344C7834","2021-08-04","18:48:00",6,411105.864207764,4261820.24260054,410883.159360474,411328.569055055,4261646.05936479,4261994.42583629,2021-08-04 12:48:00,1628102880
"123","344C7834 2021-08-04 18:51:00","344C7834","2021-08-04","18:51:00",7,411139.788170789,4261773.68359862,411000.973152919,411278.60318866,4261646.07977858,4261901.28741866,2021-08-04 12:51:00,1628103060
"124","344C7834 2021-08-04 18:54:00","344C7834","2021-08-04","18:54:00",5,411082.844198484,4261618.38587664,410891.831358846,411273.857038121,4261461.88116149,4261774.89059178,2021-08-04 12:54:00,1628103240
"125","344C7834 2021-08-04 18:57:00","344C7834","2021-08-04","18:57:00",4,411036.196060151,4261231.34110247,410625.919577241,411446.47254306,4260719.5279759,4261743.15422903,2021-08-04 12:57:00,1628103420
"126","344C7834 2021-08-04 19:00:00","344C7834","2021-08-04","19:00:00",5,411014.68165301,4261270.4636792,410716.491582216,411312.871723804,4261033.66899456,4261507.25836384,2021-08-04 13:00:00,1628103600
"127","344C7834 2021-08-04 19:03:00","344C7834","2021-08-04","19:03:00",5,411030.270986183,4261256.11060326,410733.377626706,411327.16434566,4260992.48273983,4261519.73846668,2021-08-04 13:03:00,1628103780
"128","344C7834 2021-08-04 19:06:00","344C7834","2021-08-04","19:06:00",6,411197.561694978,4261059.28543397,411043.553018266,411351.57037169,4260897.5601186,4261221.01074933,2021-08-04 13:06:00,1628103960
"129","344C7834 2021-08-04 19:09:00","344C7834","2021-08-04","19:09:00",5,410676.776119173,4261132.97133152,410600.662367124,410752.889871223,4261065.27670076,4261200.66596228,2021-08-04 13:09:00,1628104140
"130","344C7834 2021-08-04 19:12:00","344C7834","2021-08-04","19:12:00",5,410991.442371899,4260981.79144909,410859.588508843,411123.296234955,4260830.84490077,4261132.7379974,2021-08-04 13:12:00,1628104320
