"TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper"
"072D524C 2021-08-04 16:24:00","072D524C","2021-08-04","16:24:00",3,410929.90314247,4262156.46494364,410393.314220039,411466.492064902,4261491.57578461,4262821.35410268
"072D524C 2021-08-04 16:27:00","072D524C","2021-08-04","16:27:00",5,411053.844694092,4261717.49440835,410865.099650654,411242.58973753,4261485.2026619,4261949.78615479
"072D524C 2021-08-04 16:30:00","072D524C","2021-08-04","16:30:00",6,410851.6156561,4261866.64193727,410649.955072878,411053.276239322,4261670.25917231,4262063.02470223
"072D524C 2021-08-04 16:33:00","072D524C","2021-08-04","16:33:00",7,410878.82362797,4261833.35938551,410773.468709816,410984.178546124,4261745.08838607,4261921.63038495
"072D524C 2021-08-04 16:36:00","072D524C","2021-08-04","16:36:00",7,411183.174329762,4261736.17909009,411045.794228393,411320.554431132,4261608.08228285,4261864.27589732
"072D524C 2021-08-04 16:39:00","072D524C","2021-08-04","16:39:00",5,411433.670688766,4261722.92233582,411267.473109826,411599.868267705,4261536.08052104,4261909.76415061
"072D524C 2021-08-04 16:42:00","072D524C","2021-08-04","16:42:00",5,411379.058894753,4261562.86253363,411290.649917781,411467.467871725,4261445.0072413,4261680.71782597
"072D524C 2021-08-04 16:45:00","072D524C","2021-08-04","16:45:00",5,411404.438131553,4261707.83938977,411241.187521927,411567.688741179,4261536.75107423,4261878.9277053
"072D524C 2021-08-04 16:48:00","072D524C","2021-08-04","16:48:00",4,411407.17862292,4261654.41666679,411243.983751426,411570.373494415,4261537.65980659,4261771.17352698
"072D524C 2021-08-04 16:51:00","072D524C","2021-08-04","16:51:00",4,411414.474796123,4261667.94308624,411342.233700069,411486.715892177,4261615.58878393,4261720.29738855
"072D524C 2021-08-04 16:54:00","072D524C","2021-08-04","16:54:00",6,411405.102264209,4261742.95058976,411206.282294862,411603.922233555,4261518.68606361,4261967.2151159
"072D524C 2021-08-04 16:57:00","072D524C","2021-08-04","16:57:00",6,411391.866837999,4261740.38276842,411181.760256238,411601.973419759,4261514.05799047,4261966.70754638
"072D524C 2021-08-04 17:00:00","072D524C","2021-08-04","17:00:00",5,411296.737475177,4261810.15876913,411156.59330126,411436.881649094,4261628.07138807,4261992.24615018
"072D524C 2021-08-04 17:03:00","072D524C","2021-08-04","17:03:00",7,411324.122370842,4261793.54881158,411178.914631284,411469.330110401,4261644.88816578,4261942.20945739
"072D524C 2021-08-04 17:09:00","072D524C","2021-08-04","17:09:00",4,411331.772924437,4261942.41273061,410935.180731384,411728.365117489,4261659.2017026,4262225.62375862
"072D524C 2021-08-04 17:12:00","072D524C","2021-08-04","17:12:00",6,411302.982588236,4261814.23441182,411198.932896718,411407.032279754,4261702.11696917,4261926.35185447
"072D524C 2021-08-04 17:15:00","072D524C","2021-08-04","17:15:00",6,411167.221080318,4261793.65805208,410909.185901959,411425.256258676,4261519.56888188,4262067.74722228
"072D524C 2021-08-04 17:18:00","072D524C","2021-08-04","17:18:00",6,411241.270576803,4261921.44255925,411131.158546735,411351.382606871,4261811.34754798,4262031.53757053
"072D524C 2021-08-04 17:21:00","072D524C","2021-08-04","17:21:00",7,411365.265654452,4261942.39855061,411229.777577077,411500.753731826,4261790.59395651,4262094.20314471
"072D524C 2021-08-04 17:24:00","072D524C","2021-08-04","17:24:00",5,411347.294507565,4261872.13076623,411178.26030012,411516.32871501,4261674.27834043,4262069.98319203
"072D524C 2021-08-04 17:27:00","072D524C","2021-08-04","17:27:00",7,411301.380197116,4261940.7174082,411215.008079674,411387.752314558,4261852.32125103,4262029.11356536
"072D524C 2021-08-04 17:30:00","072D524C","2021-08-04","17:30:00",4,411373.779751986,4261987.46573663,411298.307912032,411449.251591939,4261933.65089412,4262041.28057914
"072D524C 2021-08-04 17:33:00","072D524C","2021-08-04","17:33:00",6,411369.601588662,4261981.94868761,411250.463120593,411488.740056731,4261860.03340259,4262103.86397264
"072D524C 2021-08-04 17:36:00","072D524C","2021-08-04","17:36:00",6,411332.853396404,4262034.42866293,411275.756984265,411389.949808542,4261983.22859271,4262085.62873314
"072D524C 2021-08-04 17:39:00","072D524C","2021-08-04","17:39:00",5,411355.485361697,4262141.14890296,411122.443955127,411588.526768267,4262007.07735818,4262275.22044775
"072D524C 2021-08-04 17:42:00","072D524C","2021-08-04","17:42:00",4,411275.731353105,4262198.32950453,410901.912336878,411649.550369333,4261753.81069191,4262642.84831716
